Numero	Tiempo
1	13600
2	1300
3	700
4	400
5	500
6	800
7	900
8	1600
9	1300
10	1700
11	2100
12	2100
13	2500
14	2900
15	3300
16	3800
17	3800
18	7500
19	5100
20	5600
21	6200
22	6700
23	8200
24	8100
25	8500
26	10000
27	9900
28	11200
29	12300
30	12400
31	13900
32	13800
33	15300
34	15600
35	17300
36	18300
37	19000
38	20600
39	21600
40	22500
41	24100
42	24200
43	25700
44	27100
45	28500
46	29100
47	30600
48	32600
49	33500
50	33300
51	36000
52	38000
53	183700
54	31900
55	32800
56	40400
57	43200
58	47500
59	48100
60	48300
61	51400
62	52000
63	53800
64	55700
65	57800
66	4808200
67	1259600
68	66000
69	67400
70	64400
71	706700
72	13600
73	14100
74	18100
75	17000
76	17300
77	18200
78	18100
79	19400
80	19200
81	18400
82	19400
83	18700
84	19100
85	18800
86	21200
87	20600
88	20700
89	43600
90	23500
91	23800
92	23900
93	26000
94	23700
95	23300
96	25900
97	27200
98	29800
99	29500
100	29900
101	29800
102	30300
103	30700
104	32000
105	32100
106	28200
107	33400
108	37300
109	34300
110	34300
111	34500
112	35400
113	36100
114	37400
115	39100
116	39400
117	40500
118	34600
119	39600
120	40800
121	40400
122	42100
123	41800
124	44600
125	45700
126	45800
127	48400
128	41800
129	44200
130	52700
131	47100
132	46200
133	45600
134	50900
135	50200
136	53700
137	52600
138	54400
139	54400
140	54000
141	55000
142	48300
143	56700
144	63700
145	69800
146	72300
147	75100
148	70000
149	71100
150	74000
151	70900
152	73400
153	67900
154	69400
155	72000
156	78300
157	76000
158	80300
159	59900
160	70100
161	73900
162	75200
163	79900
164	81800
165	85200
166	87600
167	69600
168	71200
169	75000
170	76000
171	121800
172	89800
173	1022600
174	152900
175	448700
176	524500
177	126600
178	344800
179	75600
180	181500
181	229600
182	153800
183	358100
184	82800
185	83000
186	72300
187	74900
188	77700
189	80900
190	114600
191	870800
192	88900
193	95800
194	119000
195	89400
196	88700
197	89000
198	93700
199	102700
200	105800
201	102800
202	102400
203	116500
204	102500
205	106800
206	93000
207	92500
208	94200
209	111500
210	120500
211	126300
212	125700
213	125900
214	127700
215	130200
216	131300
217	132000
218	146400
219	135800
220	135400
221	132700
222	109400
223	104500
224	107500
225	268100
226	134100
227	121700
228	135100
229	148600
230	152900
231	155400
232	159300
233	159600
234	126800
235	132200
236	131800
237	145300
238	163100
239	143300
240	137900
241	152000
242	155000
243	147500
244	150900
245	153600
246	153800
247	156700
248	159500
249	160100
250	161000
251	164500
252	165500
253	163300
254	138000
255	154800
256	165700
257	148000
258	171300
259	152300
260	166700
261	252400
262	179800
263	184500
264	590200
265	244400
266	175600
267	173700
268	179700
269	184000
270	191500
271	190200
272	189800
273	189500
274	190600
275	210700
276	193500
277	189800
278	194700
279	258600
280	228500
281	229500
282	225200
283	235500
284	358900
285	224100
286	213300
287	179300
288	397600
289	210200
290	211600
291	254200
292	246900
293	222100
294	232400
295	231400
296	239000
297	246400
298	231400
299	272100
300	236700
301	237600
302	226400
303	248400
304	230200
305	196500
306	246000
307	204000
308	236000
309	250500
310	235100
311	238600
312	239600
313	236900
314	239100
315	245300
316	268200
317	249400
318	252500
319	263100
320	252300
321	247800
322	249000
