Numero	Tiempo
1	13900
2	1400
3	800
4	800
5	900
6	1100
7	1200
8	1400
9	1500
10	2000
11	1800
12	2000
13	2100
14	2300
15	2500
16	2500
17	2700
18	2900
19	3000
20	3200
21	3400
22	3300
23	3700
24	3800
25	5100
26	1100
27	1200
28	1100
29	1300
30	1300
31	1300
32	1300
33	1500
34	1400
35	1500
36	1400
37	1700
38	1600
39	1600
40	1900
41	1600
42	1800
43	1800
44	1800
45	2000
46	3400
47	1900
48	1900
49	2000
50	2100
51	2100
52	2000
53	2000
54	2200
55	2200
56	2600
57	2300
58	2000
59	2200
60	2300
61	2400
62	2200
63	2600
64	2600
65	5300
66	2700
67	2500
68	2700
69	3000
70	2700
71	2700
72	2700
73	2700
74	2900
75	3000
76	3000
77	3000
78	3000
79	4100
80	3100
81	3100
82	3100
83	2900
84	3100
85	3300
86	3400
87	3800
88	3400
89	3400
90	3700
91	3400
92	4400
93	3700
94	3600
95	3900
96	3700
97	3900
98	3900
99	3900
100	3900
101	4000
102	404800
103	2100
104	1200
105	1000
106	1000
107	1000
108	1000
109	900
110	900
111	1000
112	900
113	900
114	1000
115	1100
116	900
117	1000
118	1100
119	1100
120	1100
121	1100
122	900
123	1000
124	900
125	1000
126	900
127	1200
128	1100
129	1200
130	1000
131	1100
132	1200
133	1000
134	1200
135	1200
136	1000
137	1200
138	1500
139	1100
140	1200
141	1000
142	1000
143	1300
144	1000
145	1100
146	1300
147	1100
148	1200
149	1200
150	1300
151	1400
152	1300
153	1300
154	1000
155	1400
156	1600
157	1500
158	1100
159	1300
160	1000
161	1300
162	1400
163	1200
164	2300
165	1100
166	1000
167	1300
168	1300
169	1300
170	1300
171	1400
172	1400
173	1600
174	1100
175	1500
176	1400
177	1300
178	1400
179	1400
180	1200
181	1500
182	1500
183	1300
184	1500
185	1700
186	1500
187	1400
188	1500
189	1500
190	1400
191	1500
192	1800
193	1400
194	1500
195	1800
196	1400
197	1700
198	1600
199	1600
200	1500
201	1500
202	2000
203	1500
204	1700
205	1800
206	1600
207	1700
208	2700
209	1800
210	1600
211	1700
212	1800
213	1600
214	1600
215	1600
216	1700
217	1900
218	1800
219	1500
220	1800
221	1800
222	1700
223	2100
224	1700
225	1300
226	1400
227	1600
228	1700
229	1600
230	1600
231	1800
232	1400
233	1600
234	1700
235	1900
236	1700
237	1800
238	1600
239	1700
240	1800
241	1800
242	1800
243	1800
244	1800
245	2800
246	1800
247	2000
248	1800
249	2000
250	2000
251	1900
252	2000
253	2000
254	2000
255	2000
256	1900
257	2000
258	2000
259	2000
260	1900
261	1900
262	2000
263	2200
264	2000
265	1800
266	2100
267	2100
268	2100
269	1800
270	2100
271	2400
272	2200
273	2100
274	2000
275	2100
276	3000
277	2200
278	2100
279	2100
280	2000
281	2000
282	2200
283	2000
284	2100
285	2100
286	2100
287	2100
288	2200
289	2100
290	2200
291	2300
292	2200
293	2200
294	2300
295	2300
296	2200
297	2200
298	2000
299	2100
300	1900
301	2400
302	2200
303	2400
304	2400
305	7800
306	2300
307	2600
308	2300
309	2400
310	2200
311	2400
312	2400
313	2300
314	2300
315	2500
316	2400
317	2300
318	2500
319	2500
320	2400
321	2600
322	2000
323	2400
324	2500
325	2500
326	2500
327	2100
328	2400
329	2500
330	3600
331	2700
332	2400
333	2200
334	2400
335	2500
336	2500
337	2600
338	2100
339	2600
340	2700
341	2600
342	2700
343	2600
344	2700
345	2300
346	2500
347	5100
348	2000
349	2400
350	2400
351	2600
352	2600
353	2300
354	4000
355	2800
356	2800
357	2500
358	2600
359	2700
360	2700
361	2800
362	2700
363	2600
364	2600
365	2600
366	2700
367	2800
368	2700
369	2600
370	2200
371	2300
372	2500
373	2400
374	2400
375	2600
376	2300
377	3600
378	2200
379	2700
380	3000
381	2200
382	2500
383	2100
384	2200
385	2200
386	2400
387	2400
388	2800
389	2400
390	2300
391	2500
392	2900
393	3000
394	2500
395	2400
396	2500
397	2500
398	3900
399	2300
400	2200
401	2900
402	2600
403	2700
404	3000
405	2900
406	3000
407	3000
408	3000
409	3100
410	2700
411	3000
412	3100
413	2900
414	2600
415	3000
416	2400
417	2900
418	3900
419	2900
420	2900
421	3200
422	2900
423	2700
424	3100
425	2900
426	3000
427	3100
428	3000
429	2800
430	2700
431	2800
432	2800
433	2600
434	2900
435	2700
436	2700
437	3400
438	2600
439	2600
440	2700
441	2800
442	2800
443	3100
444	3300
445	3000
446	3000
447	3300
448	3400
449	2900
450	2500
451	2600
452	3100
453	3100
454	3100
455	3300
456	4200
457	3200
458	3500
459	3300
460	3100
461	3200
462	3100
463	3100
464	3200
465	3100
466	3400
467	3100
468	3300
469	3200
470	2800
471	3200
472	3200
473	4200
474	3100
475	3100
476	2800
477	3200
478	3600
479	3200
480	3300
481	3200
482	3400
483	3400
484	3100
485	3600
486	3400
487	3300
488	3300
489	3600
490	3300
491	4600
492	3300
493	3600
494	3300
495	3400
496	2700
497	3000
498	2800
499	3100
500	3600
501	3700
502	3100
503	3400
504	3800
505	4000
506	3400
507	4600
508	3400
509	3200
510	3400
511	3400
512	2900
513	3300
514	3700
515	3600
516	3600
517	3500
518	3600
519	3400
520	4000
521	3400
522	3900
523	4600
524	3900
525	3800
526	3600
527	3600
528	3400
529	3700
530	3600
531	3900
532	4000
533	3800
534	3900
535	4000
536	3900
537	3600
538	4800
539	3600
540	3200
541	3200
542	3100
543	3200
544	3500
545	3800
546	3800
547	4000
548	3700
549	3900
550	3900
551	4000
552	3300
553	5200
554	4100
555	4100
556	3800
557	4100
558	4000
559	3900
560	4000
561	4100
562	4000
563	4000
564	3900
565	3900
566	4100
567	3700
568	4800
569	3900
570	4000
571	4200
572	4300
573	4000
574	3900
575	4000
576	4100
577	4000
578	4200
579	3900
580	4000
581	3500
582	5100
583	3400
584	3500
585	3800
586	3600
587	3500
588	3200
589	5000
590	3600
591	3000
592	3400
593	3300
594	3300
595	3800
596	5400
597	3700
598	3900
599	3500
600	3800
601	3300
602	3800
603	3700
604	3900
605	4000
606	4000
607	4200
608	4000
609	4000
610	5100
611	4300
612	4200
613	4000
614	4400
615	4000
616	3700
617	4000
618	4100
619	3800
620	4000
621	4100
622	3900
623	5000
624	4200
625	3900
626	3900
627	4100
628	4100
629	4200
630	4100
631	4500
632	3700
633	3900
634	3900
635	3900
636	4800
637	4000
638	4200
639	4100
640	4200
641	4200
642	4300
643	4400
644	4000
645	4300
646	4000
647	4000
648	4300
649	4800
650	4400
651	4400
652	4200
653	4200
654	4200
655	4200
656	4300
657	4400
658	4500
659	4100
660	4400
661	7700
662	4200
663	4300
664	4400
665	4300
666	4200
667	4200
668	4500
669	4200
670	4300
671	4300
672	4300
673	4200
674	4800
675	4500
676	4200
677	4600
678	4500
679	4500
680	4300
681	4200
682	4400
683	4200
684	4700
685	4400
686	5100
687	4400
688	4400
689	4300
690	4400
691	4500
692	4500
693	4700
694	4100
695	4300
696	4100
697	4200
698	5400
699	4200
700	4500
701	4500
702	4500
703	4900
704	4300
705	4600
706	4700
707	4700
708	4100
709	5200
710	4800
711	4700
712	4800
713	4500
714	4600
715	4600
716	4400
717	4700
718	4800
719	4400
720	4500
721	5200
722	4300
723	4800
724	4600
725	4200
726	4700
727	4600
728	4700
729	4800
730	4800
731	4600
732	5300
733	4800
734	4900
735	4800
736	4700
737	4300
738	4600
739	4900
740	5200
741	4700
742	4900
743	5500
744	4800
745	5100
746	4900
747	4700
748	4900
749	4700
750	4700
751	4900
752	4800
753	4900
754	5500
755	4600
756	4600
757	5000
758	5000
759	5000
760	4900
761	5100
762	5200
763	4700
764	4900
765	5800
766	4900
767	5000
768	5000
769	4500
770	4900
771	5000
772	5100
773	5300
774	5000
775	5300
776	5500
777	5000
778	5000
779	4900
780	5000
781	4800
782	5100
783	4900
784	4900
785	5000
786	5400
787	4800
788	5200
789	4900
790	5100
791	5100
792	5000
793	5400
794	5200
795	5300
796	4700
797	5600
798	4900
799	5300
800	5200
801	5500
802	5100
803	5200
804	7200
805	5100
806	5200
807	5900
808	5200
809	5600
810	5200
811	4800
812	5300
813	5300
814	5000
815	5400
816	5300
817	5900
818	5400
819	5300
820	5500
821	5800
822	5200
823	5300
824	5200
825	5600
826	5500
827	6000
828	5500
829	5800
830	5400
831	5500
832	5400
833	5400
834	5700
835	5400
836	5600
837	6000
838	5500
839	5500
840	5900
841	5700
842	5500
843	5500
844	5500
845	5700
846	6600
847	5800
848	5400
849	5200
850	5800
851	5700
852	5300
853	5500
854	4900
855	5300
856	6200
857	5400
858	5500
859	5700
860	5600
861	5600
862	5600
863	5400
864	6000
865	5600
866	6300
867	5500
868	5400
869	5400
870	5900
871	5800
872	5300
873	5500
874	5600
875	6500
876	5900
877	5400
878	5600
879	5600
880	5500
881	5500
882	5900
883	5400
884	6100
885	5500
886	5700
887	5700
888	5600
889	5500
890	5800
891	5600
892	5500
893	5500
894	6500
895	5900
896	5700
897	5400
898	5800
899	5800
900	5600
901	5600
902	5900
903	6800
904	5600
905	5700
906	5600
907	5700
908	5900
909	5900
910	5800
911	5700
912	6500
913	5600
914	5400
915	6200
916	5700
917	5900
918	5700
919	6200
920	6000
921	6500
922	6000
923	5700
924	5900
925	5800
926	5600
927	6400
928	5600
929	8200
930	7000
931	5700
932	6000
933	5900
934	6000
935	6000
936	5700
937	6100
938	6800
939	6000
940	6000
941	6300
942	6200
943	6200
944	6200
945	5900
946	6200
947	6700
948	6300
949	6200
950	6400
951	6400
952	5900
953	6300
954	6300
955	6000
956	6800
957	6200
958	6300
959	5800
960	6300
961	6100
962	6000
963	6300
964	6900
965	6200
966	6500
967	6200
968	6600
969	6500
970	6000
971	6200
972	5900
973	6900
974	6400
975	6300
976	6400
977	6400
978	5800
979	6200
980	6400
981	6700
982	6200
983	6400
984	6300
985	6600
986	5800
987	6000
988	6500
989	7200
990	6500
991	6700
992	6400
993	6500
994	6700
995	6700
996	6600
997	6600
998	6600
999	6500
1000	6700
