Numero	Tiempo
1	10900
2	6100
3	2600
4	3500
5	4300
6	10900
7	7200
8	25300
9	11700
10	9600
11	15900
12	19400
13	29400
14	24900
15	24600
16	24200
17	25500
18	28600
19	31500
20	54800
21	56500
22	30400
23	37600
24	33000
25	40500
26	39300
27	51800
28	49700
29	64900
30	142300
31	70200
32	41700
33	76100
34	39600
35	62400
36	12300
37	6600
38	4400
39	5500
40	2700
41	5800
42	4900
43	3800
44	6100
45	5800
46	4100
47	9300
48	5800
49	6100
50	4000
51	6300
52	7300
53	8800
54	7100
55	5300
56	6800
57	7400
58	7400
59	7900
60	16700
61	10800
62	9200
63	7900
64	7000
65	8600
66	8600
67	8100
68	12000
69	11400
70	10600
71	11000
72	9200
73	9900
74	9500
75	10900
76	13600
77	8700
78	9600
79	11000
80	11400
81	16700
82	11400
83	13800
84	15300
85	10300
86	12100
87	12300
88	14900
89	10700
90	9300
91	11200
92	11100
93	13100
94	13000
95	14900
96	11000
97	12800
98	12900
99	12600
100	15700
101	12200
102	13800
103	13600
104	11600
105	16000
106	15800
107	13200
108	15200
109	15800
110	14200
111	13500
112	14200
113	15700
114	15100
115	14900
116	14400
117	16400
118	155700
119	16900
120	15800
121	20800
122	19800
123	17000
124	14700
125	16500
126	16800
127	18300
128	17300
129	16100
130	17500
131	17200
132	19500
133	17600
134	19600
135	19600
136	17300
137	16800
138	19900
139	19100
140	18100
141	19000
142	19800
143	17300
144	23700
145	15500
146	16100
147	21800
148	16800
149	25300
150	17600
151	23000
152	20100
153	26800
154	19800
155	23200
156	21300
157	19300
158	21100
159	20700
160	19100
161	20300
162	21400
163	19000
164	20500
165	19600
166	18400
167	18700
168	25200
169	24200
170	24300
171	21000
172	30000
173	21500
174	20000
175	24000
176	23500
177	22100
178	23900
179	19100
180	20800
181	27900
182	20300
183	27300
184	26200
185	23300
186	28700
187	26500
188	25800
189	49200
190	30000
191	26700
192	29800
193	28600
194	28500
195	26500
196	26600
197	28100
198	28500
199	28000
200	27900
201	34100
202	28800
203	85700
204	23600
205	26900
206	23700
207	24900
208	41800
209	30200
210	33300
211	30100
212	31500
213	28700
214	28100
215	40000
216	28800
217	28700
218	31000
219	34100
220	31500
221	26500
222	27500
223	26000
224	28600
225	27200
226	30900
227	27600
228	32700
229	30500
230	28700
231	29400
232	38400
233	30500
234	34700
235	31700
236	34900
237	33900
238	33600
239	34800
240	35300
241	34900
242	34600
243	37700
244	33200
245	35200
246	36400
247	38500
248	32800
249	38200
250	36500
251	35900
